player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
"Oscar Tshiebwe","UTA","2023-24","24","IND","NBA","PF","8","0","5.3","1.3","2.5",".500","0.0","0.0","","1.3",".500",".500","0.8","1.0",".750","1.0","1.0","2.0","0.3","0.3","0.1","0.0","0.4","3.3",""
"Cody Williams","UTA","2024-25","20","UTA","NBA","SG","50","21","21.2","1.7","5.1",".323","0.7","2.7",".259","1.0",".393",".391","0.6","0.8",".725","0.5","1.7","2.3","1.2","0.5","0.3","0.9","1.9","4.6",""
"Kyle Anderson","2TM","2024-25","31","2TM","NBA","PF","61","4","16.4","2.3","5.0",".469","0.4","1.1",".357","1.9",".502",".510","0.8","1.1",".738","0.9","2.5","3.4","2.4","0.7","0.5","0.6","1.3","5.9",""
"Kyle Anderson","2TM","2023-24","30","MIN","NBA","PF","79","10","22.6","2.5","5.5",".460","0.1","0.6",".229","2.4",".488",".472","1.2","1.7",".708","0.8","2.7","3.5","4.2","0.9","0.6","1.2","1.6","6.4",""
"Kyle Anderson","2TM","2022-23","29","MIN","NBA","PF","69","46","28.4","3.7","7.2",".509","0.6","1.5",".410","3.0",".536",".553","1.4","2.0",".735","1.0","4.4","5.3","4.9","1.1","0.9","1.5","2.1","9.4",""
"Reece Beekman","2TM","2024-25","23","2TM","NBA","PG","36","4","13.0","1.0","3.0",".327","0.2","1.1",".175","0.8",".418",".360","0.4","0.6",".762","0.4","0.7","1.1","1.8","0.9","0.1","0.6","1.0","2.6",""
"Jimmy Butler","2TM","2024-25","35","2TM","NBA","SF","55","55","31.7","5.5","10.9",".504","0.6","1.9",".308","4.9",".546",".531","6.0","7.1",".842","2.3","3.1","5.4","5.4","1.4","0.3","1.3","0.9","17.5",""
"Jimmy Butler","2TM","2023-24","34","MIA","NBA","PF","60","60","34.0","6.6","13.2",".499","1.0","2.4",".414","5.6",".519",".537","6.6","7.7",".858","1.8","3.6","5.3","5.0","1.3","0.3","1.7","1.1","20.8",""
"Jimmy Butler","2TM","2022-23","33","MIA","NBA","PF","64","64","33.4","7.5","13.9",".539","0.6","1.6",".350","6.9",".564",".560","7.4","8.7",".850","2.2","3.7","5.9","5.3","1.8","0.3","1.6","1.3","22.9",""
"Yuri Collins","GSW","2024-25","23","GSW","NBA","PG","2","0","8.0","0.5","1.5",".333","0.0","0.0","","0.5",".333",".333","0.0","0.0","","1.0","0.5","1.5","2.0","1.0","0.0","0.0","2.5","1.0",""
"Stephen Curry","GSW","2024-25","36","GSW","NBA","PG","70","70","32.2","8.1","18.0",".448","4.4","11.2",".397","3.6",".534",".572","4.0","4.3",".933","0.6","3.9","4.4","6.0","1.1","0.4","2.9","1.4","24.5",""
"Stephen Curry","GSW","2023-24","35","GSW","NBA","PG","74","74","32.7","8.8","19.5",".450","4.8","11.8",".408","4.0",".515",".573","4.0","4.4",".923","0.5","4.0","4.5","5.1","0.7","0.4","2.8","1.6","26.4",""
"Stephen Curry","GSW","2022-23","34","GSW","NBA","PG","56","56","34.7","10.0","20.2",".493","4.9","11.4",".427","5.1",".579",".614","4.6","5.0",".915","0.7","5.4","6.1","6.3","0.9","0.4","3.2","2.1","29.4",""
"Draymond Green","GSW","2024-25","34","GSW","NBA","PF","68","66","29.2","3.2","7.5",".424","1.2","3.6",".325","2.0",".517",".503","1.5","2.2",".687","1.1","5.0","6.1","5.6","1.5","1.0","2.6","3.2","9.0",""
"Draymond Green","GSW","2023-24","33","GSW","NBA","PF","55","52","27.1","3.4","6.8",".497","0.9","2.3",".395","2.4",".551",".566","1.0","1.3",".730","1.4","5.9","7.2","6.0","1.0","0.9","2.5","3.0","8.6",""
"Draymond Green","GSW","2022-23","32","GSW","NBA","PF","73","73","31.5","3.4","6.5",".527","0.5","1.8",".305","2.9",".612",".570","1.1","1.5",".713","0.9","6.3","7.2","6.8","1.0","0.8","2.8","3.1","8.5",""
"Buddy Hield","GSW","2024-25","32","GSW","NBA","SG","82","22","22.7","4.0","9.6",".417","2.5","6.7",".370","1.5",".527",".546","0.6","0.8",".828","0.6","2.6","3.2","1.6","0.8","0.3","1.1","1.6","11.1",""
"Buddy Hield","GSW","2023-24","31","2TM","NBA","SF","84","42","25.7","4.4","10.1",".436","2.6","6.8",".386","1.8",".539",".565","0.6","0.7",".881","0.7","2.5","3.2","2.8","0.8","0.5","1.2","2.0","12.1",""
"Buddy Hield","GSW","2022-23","30","IND","NBA","SF","80","73","31.0","5.9","13.0",".458","3.6","8.5",".425","2.3",".518",".596","1.3","1.6",".822","0.8","4.2","5.0","2.8","1.2","0.3","1.7","2.0","16.8",""
"Trayce Jackson-Davis","GSW","2024-25","24","GSW","NBA","C","62","37","15.6","2.8","4.9",".576","0.0","0.0",".000","2.8",".582",".576","1.0","1.6",".578","2.0","3.0","5.0","1.7","0.4","0.6","0.7","1.2","6.6",""
"Trayce Jackson-Davis","GSW","2023-24","23","GSW","NBA","PF","68","16","16.6","3.4","4.9",".702","0.0","0.0",".000","3.4",".704",".702","1.1","1.9",".561","2.0","3.0","5.0","1.2","0.4","1.1","0.7","1.6","7.9",""
"Braxton Key","GSW","2024-25","27","GSW","NBA","SF","3","0","3.7","0.0","1.3",".000","0.0","0.3",".000","0.0",".000",".000","1.0","2.0",".500","0.3","0.3","0.7","0.0","0.7","0.0","0.3","0.0","1.0",""
"Braxton Key","GSW","2023-24","26","DEN","NBA","SF","20","0","3.0","0.4","0.9",".412","0.1","0.3",".400","0.3",".417",".471","0.3","0.4",".750","0.2","0.8","0.9","0.5","0.1","0.1","0.1","0.3","1.1",""
"Braxton Key","GSW","2022-23","25","DET","NBA","SF","3","0","3.0","0.3","0.3","1.000","0.0","0.0","","0.3","1.000","1.000","0.7","0.7","1.000","0.0","0.3","0.3","0.0","0.0","0.0","0.0","0.0","1.3",""
"Kevin Knox","GSW","2024-25","25","GSW","NBA","SF","14","0","6.0","1.3","2.6",".500","0.3","1.1",".267","1.0",".667",".556","0.4","0.6",".750","0.5","0.7","1.2","0.4","0.1","0.3","0.3","0.4","3.3",""
"Kevin Knox","GSW","2023-24","24","DET","NBA","SF","31","11","18.1","2.8","6.0",".462","1.0","3.0",".330","1.8",".598",".546","0.6","0.7",".909","0.6","1.8","2.4","0.7","0.4","0.2","0.7","1.6","7.2",""
"Kevin Knox","GSW","2022-23","23","2TM","NBA","SF","63","5","15.1","2.4","5.3",".458","1.0","3.0",".349","1.4",".596",".556","0.7","1.0",".767","0.5","2.3","2.8","0.5","0.4","0.2","0.8","1.5","6.6",""
"Jonathan Kuminga","GSW","2024-25","22","GSW","NBA","PF","47","10","24.3","5.5","12.1",".454","1.0","3.2",".305","4.5",".508",".495","3.3","5.0",".668","1.2","3.4","4.6","2.2","0.8","0.4","1.5","1.9","15.3",""
"Jonathan Kuminga","GSW","2023-24","21","GSW","NBA","PF","74","46","26.3","6.2","11.6",".529","0.7","2.2",".321","5.4",".578",".560","3.0","4.0",".746","1.2","3.6","4.8","2.2","0.7","0.5","1.6","2.3","16.1",""
"Jonathan Kuminga","GSW","2022-23","20","GSW","NBA","PF","67","16","20.8","3.9","7.4",".525","0.8","2.2",".370","3.1",".590",".579","1.3","2.1",".652","1.0","2.4","3.4","1.9","0.6","0.5","1.4","2.3","9.9",""
"Kevon Looney","GSW","2024-25","28","GSW","NBA","C","76","6","15.0","1.9","3.7",".514","0.0","0.1",".400","1.9",".516",".518","0.7","1.3",".566","2.4","3.6","6.1","1.6","0.6","0.5","0.5","2.0","4.5",""
"Kevon Looney","GSW","2023-24","27","GSW","NBA","C","74","36","16.1","1.9","3.1",".597","0.0","0.0",".000","1.9",".599",".597","0.8","1.1",".675","1.9","3.7","5.7","1.8","0.4","0.4","0.7","2.1","4.5",""
