Year,Year ending,Local Government Area,Age Group,OTH Counter
2025,June,Kingston,00 - 17 years,141
2025,June,Kingston,18 - 24 years,164
2025,June,Kingston,25 - 34 years,402
2025,June,Kingston,35 - 44 years,619
2025,June,Kingston,45 - 54 years,445
2025,June,Kingston,55+ years,254
2025,June,Knox,00 - 17 years,205
2025,June,Knox,18 - 24 years,202
2025,June,Knox,25 - 34 years,453
2025,June,Knox,35 - 44 years,501
2025,June,Knox,45 - 54 years,356
2025,June,Knox,55+ years,178
2025,June,Latrobe,00 - 17 years,248
2025,June,Latrobe,18 - 24 years,365
2025,June,Latrobe,25 - 34 years,937
2025,June,Latrobe,35 - 44 years,780
2025,June,Latrobe,45 - 54 years,494
2025,June,Latrobe,55+ years,172
2025,June,Loddon,00 - 17 years,6
2025,June,Loddon,18 - 24 years,21
2025,June,Loddon,25 - 34 years,37
2025,June,Loddon,35 - 44 years,37
2025,June,Loddon,45 - 54 years,27
2025,June,Loddon,55+ years,16
2025,June,Macedon Ranges,00 - 17 years,52
2025,June,Macedon Ranges,18 - 24 years,30
2025,June,Macedon Ranges,25 - 34 years,123
2025,June,Macedon Ranges,35 - 44 years,152
2025,June,Macedon Ranges,45 - 54 years,118
2025,June,Macedon Ranges,55+ years,66
2025,June,Manningham,00 - 17 years,80
2025,June,Manningham,18 - 24 years,91
2025,June,Manningham,25 - 34 years,99
2025,June,Manningham,35 - 44 years,244
2025,June,Manningham,45 - 54 years,215
2025,June,Manningham,55+ years,119
2025,June,Mansfield,00 - 17 years,8
2025,June,Mansfield,18 - 24 years,22
2025,June,Mansfield,25 - 34 years,19
2025,June,Mansfield,35 - 44 years,25
2025,June,Mansfield,45 - 54 years,19
2025,June,Mansfield,55+ years,21
2025,June,Maribyrnong,00 - 17 years,41
2025,June,Maribyrnong,18 - 24 years,131
2025,June,Maribyrnong,25 - 34 years,318
2025,June,Maribyrnong,35 - 44 years,348
2025,June,Maribyrnong,45 - 54 years,248
2025,June,Maribyrnong,55+ years,110
2025,June,Maroondah,00 - 17 years,152
2025,June,Maroondah,18 - 24 years,132
2025,June,Maroondah,25 - 34 years,376
2025,June,Maroondah,35 - 44 years,347
2025,June,Maroondah,45 - 54 years,306
2025,June,Maroondah,55+ years,161
2025,June,Melbourne,00 - 17 years,65
2025,June,Melbourne,18 - 24 years,391
2025,June,Melbourne,25 - 34 years,721
2025,June,Melbourne,35 - 44 years,561
2025,June,Melbourne,45 - 54 years,276
2025,June,Melbourne,55+ years,124
2025,June,Melton,00 - 17 years,206
2025,June,Melton,18 - 24 years,414
2025,June,Melton,25 - 34 years,1122
2025,June,Melton,35 - 44 years,1114
2025,June,Melton,45 - 54 years,498
2025,June,Melton,55+ years,219
2025,June,Merri-bek,00 - 17 years,90
2025,June,Merri-bek,18 - 24 years,190
2025,June,Merri-bek,25 - 34 years,536
2025,June,Merri-bek,35 - 44 years,518
2025,June,Merri-bek,45 - 54 years,342
2025,June,Merri-bek,55+ years,189
2025,June,Mildura,00 - 17 years,183
2025,June,Mildura,18 - 24 years,371
2025,June,Mildura,25 - 34 years,582
2025,June,Mildura,35 - 44 years,628
2025,June,Mildura,45 - 54 years,264
2025,June,Mildura,55+ years,140
2025,June,Mitchell,00 - 17 years,127
2025,June,Mitchell,18 - 24 years,156
2025,June,Mitchell,25 - 34 years,363
2025,June,Mitchell,35 - 44 years,333
2025,June,Mitchell,45 - 54 years,245
2025,June,Mitchell,55+ years,136
2025,June,Moira,00 - 17 years,52
2025,June,Moira,18 - 24 years,49
2025,June,Moira,25 - 34 years,163
2025,June,Moira,35 - 44 years,206
2025,June,Moira,45 - 54 years,129
2025,June,Moira,55+ years,66
2025,June,Monash,00 - 17 years,136
2025,June,Monash,18 - 24 years,186
2025,June,Monash,25 - 34 years,419
2025,June,Monash,35 - 44 years,542
2025,June,Monash,45 - 54 years,406
2025,June,Monash,55+ years,205
2025,June,Moonee Valley,00 - 17 years,66
2025,June,Moonee Valley,18 - 24 years,141
2025,June,Moonee Valley,25 - 34 years,330
2025,June,Moonee Valley,35 - 44 years,378
2025,June,Moonee Valley,45 - 54 years,249
2025,June,Moonee Valley,55+ years,146
2025,June,Moorabool,00 - 17 years,113
2025,June,Moorabool,18 - 24 years,87
2025,June,Moorabool,25 - 34 years,186
2025,June,Moorabool,35 - 44 years,196
2025,June,Moorabool,45 - 54 years,131
2025,June,Moorabool,55+ years,64
2025,June,Mornington Peninsula,00 - 17 years,206
2025,June,Mornington Peninsula,18 - 24 years,234
2025,June,Mornington Peninsula,25 - 34 years,500
2025,June,Mornington Peninsula,35 - 44 years,739
2025,June,Mornington Peninsula,45 - 54 years,523
2025,June,Mornington Peninsula,55+ years,280
2025,June,Mount Alexander,00 - 17 years,30
2025,June,Mount Alexander,18 - 24 years,41
2025,June,Mount Alexander,25 - 34 years,54
2025,June,Mount Alexander,35 - 44 years,81
2025,June,Mount Alexander,45 - 54 years,46
2025,June,Mount Alexander,55+ years,41
2025,June,Moyne,00 - 17 years,16
2025,June,Moyne,18 - 24 years,32
2025,June,Moyne,25 - 34 years,59
2025,June,Moyne,35 - 44 years,48
2025,June,Moyne,45 - 54 years,43
2025,June,Moyne,55+ years,35
2025,June,Murrindindi,00 - 17 years,13
2025,June,Murrindindi,18 - 24 years,23
2025,June,Murrindindi,25 - 34 years,49
2025,June,Murrindindi,35 - 44 years,68
2025,June,Murrindindi,45 - 54 years,28
2025,June,Murrindindi,55+ years,20
2025,June,Nillumbik,00 - 17 years,64
2025,June,Nillumbik,18 - 24 years,60
2025,June,Nillumbik,25 - 34 years,116
2025,June,Nillumbik,35 - 44 years,128
2025,June,Nillumbik,45 - 54 years,112
2025,June,Nillumbik,55+ years,37
2025,June,Northern Grampians,00 - 17 years,33
2025,June,Northern Grampians,18 - 24 years,42
2025,June,Northern Grampians,25 - 34 years,115
2025,June,Northern Grampians,35 - 44 years,74
2025,June,Northern Grampians,45 - 54 years,39
2025,June,Northern Grampians,55+ years,39
2025,June,Port Phillip,00 - 17 years,47
2025,June,Port Phillip,18 - 24 years,139
2025,June,Port Phillip,25 - 34 years,460
2025,June,Port Phillip,35 - 44 years,470
2025,June,Port Phillip,45 - 54 years,355
2025,June,Port Phillip,55+ years,124
2025,June,Pyrenees,00 - 17 years,2
2025,June,Pyrenees,18 - 24 years,14
2025,June,Pyrenees,25 - 34 years,19
2025,June,Pyrenees,35 - 44 years,37
2025,June,Pyrenees,45 - 54 years,28
2025,June,Pyrenees,55+ years,20
2025,June,Queenscliffe,18 - 24 years,
2025,June,Queenscliffe,25 - 34 years,
2025,June,Queenscliffe,35 - 44 years,
2025,June,Queenscliffe,45 - 54 years,
2025,June,Queenscliffe,55+ years,
2025,June,South Gippsland,00 - 17 years,83
2025,June,South Gippsland,18 - 24 years,67
2025,June,South Gippsland,25 - 34 years,113
2025,June,South Gippsland,35 - 44 years,151
2025,June,South Gippsland,45 - 54 years,113
2025,June,South Gippsland,55+ years,71
2025,June,Southern Grampians,00 - 17 years,29
2025,June,Southern Grampians,18 - 24 years,45
2025,June,Southern Grampians,25 - 34 years,109
2025,June,Southern Grampians,35 - 44 years,105
2025,June,Southern Grampians,45 - 54 years,52
2025,June,Southern Grampians,55+ years,29
2025,June,Stonnington,00 - 17 years,45
2025,June,Stonnington,18 - 24 years,112
2025,June,Stonnington,25 - 34 years,314
2025,June,Stonnington,35 - 44 years,314
2025,June,Stonnington,45 - 54 years,198
2025,June,Stonnington,55+ years,118
2025,June,Strathbogie,00 - 17 years,2
2025,June,Strathbogie,18 - 24 years,10
2025,June,Strathbogie,25 - 34 years,71
2025,June,Strathbogie,35 - 44 years,43
2025,June,Strathbogie,45 - 54 years,35
2025,June,Strathbogie,55+ years,20
2025,June,Surf Coast,00 - 17 years,66
2025,June,Surf Coast,18 - 24 years,41
2025,June,Surf Coast,25 - 34 years,40
2025,June,Surf Coast,35 - 44 years,80
2025,June,Surf Coast,45 - 54 years,89
2025,June,Surf Coast,55+ years,31
2025,June,Swan Hill,00 - 17 years,54
2025,June,Swan Hill,18 - 24 years,114
2025,June,Swan Hill,25 - 34 years,172
2025,June,Swan Hill,35 - 44 years,164
2025,June,Swan Hill,45 - 54 years,83
2025,June,Swan Hill,55+ years,49
2025,June,Towong,00 - 17 years,7
2025,June,Towong,18 - 24 years,8
2025,June,Towong,25 - 34 years,20
2025,June,Towong,35 - 44 years,18
2025,June,Towong,45 - 54 years,18
2025,June,Towong,55+ years,9
2025,June,Wangaratta,00 - 17 years,79
2025,June,Wangaratta,18 - 24 years,102
2025,June,Wangaratta,25 - 34 years,157
2025,June,Wangaratta,35 - 44 years,184
2025,June,Wangaratta,45 - 54 years,99
2025,June,Wangaratta,55+ years,86
2025,June,Warrnambool,00 - 17 years,73
2025,June,Warrnambool,18 - 24 years,110
2025,June,Warrnambool,25 - 34 years,244
2025,June,Warrnambool,35 - 44 years,195
2025,June,Warrnambool,45 - 54 years,155
2025,June,Warrnambool,55+ years,89
2025,June,Wellington,00 - 17 years,144
2025,June,Wellington,18 - 24 years,197
2025,June,Wellington,25 - 34 years,373
2025,June,Wellington,35 - 44 years,370
2025,June,Wellington,45 - 54 years,294
2025,June,Wellington,55+ years,114
2025,June,West Wimmera,00 - 17 years,7
2025,June,West Wimmera,18 - 24 years,5
2025,June,West Wimmera,25 - 34 years,30
2025,June,West Wimmera,35 - 44 years,17
2025,June,West Wimmera,45 - 54 years,8
2025,June,West Wimmera,55+ years,2
2025,June,Whitehorse,00 - 17 years,97
2025,June,Whitehorse,18 - 24 years,141
