Year,Year ending,Local Government Area,OTH Sex,OTH Counter
2023,June,Moira,Females,125
2023,June,Moira,Males,499
2023,June,Monash,Females,499
2023,June,Monash,Males,1344
2023,June,Moonee Valley,Females,322
2023,June,Moonee Valley,Males,943
2023,June,Moorabool,Females,157
2023,June,Moorabool,Males,386
2023,June,Mornington Peninsula,Females,558
2023,June,Mornington Peninsula,Males,1387
2023,June,Mount Alexander,Females,61
2023,June,Mount Alexander,Males,170
2023,June,Moyne,Females,39
2023,June,Moyne,Males,137
2023,June,Murrindindi,Females,46
2023,June,Murrindindi,Males,141
2023,June,Nillumbik,Females,94
2023,June,Nillumbik,Males,325
2023,June,Northern Grampians,Females,78
2023,June,Northern Grampians,Males,219
2023,June,Port Phillip,Females,346
2023,June,Port Phillip,Males,1091
2023,June,Pyrenees,Females,24
2023,June,Pyrenees,Males,74
2023,June,Queenscliffe,Females,4
2023,June,Queenscliffe,Males,6
2023,June,South Gippsland,Females,122
2023,June,South Gippsland,Males,390
2023,June,Southern Grampians,Females,76
2023,June,Southern Grampians,Males,208
2023,June,Stonnington,Females,241
2023,June,Stonnington,Males,726
2023,June,Strathbogie,Females,29
2023,June,Strathbogie,Males,116
2023,June,Surf Coast,Females,87
2023,June,Surf Coast,Males,182
2023,June,Swan Hill,Females,175
2023,June,Swan Hill,Males,404
2023,June,Towong,Females,22
2023,June,Towong,Males,65
2023,June,Wangaratta,Females,154
2023,June,Wangaratta,Males,477
2023,June,Warrnambool,Females,145
2023,June,Warrnambool,Males,584
2023,June,Wellington,Females,382
2023,June,Wellington,Males,966
2023,June,West Wimmera,Females,4
2023,June,West Wimmera,Males,38
2023,June,Whitehorse,Females,372
2023,June,Whitehorse,Males,1095
2023,June,Whittlesea,Females,559
2023,June,Whittlesea,Males,2078
2023,June,Wodonga,Females,277
2023,June,Wodonga,Males,787
2023,June,Wyndham,Females,1218
2023,June,Wyndham,Males,3271
2023,June,Yarra,Females,273
2023,June,Yarra,Males,780
2023,June,Yarra Ranges,Females,505
2023,June,Yarra Ranges,Males,1469
2023,June,Yarriambiack,Females,28
2023,June,Yarriambiack,Males,94
2022,June,Alpine,Females,40
2022,June,Alpine,Males,101
2022,June,Ararat,Females,62
