Year,Year ending,Police Region,Local Government Area,Family Incidents,"Rate per 100,000 population"
2023,June,1 North West Metro, Moonee Valley,1267,1001.6
2023,June,1 North West Metro, Nillumbik,419,662.4
2023,June,1 North West Metro, Whittlesea,2639,1077.1
2023,June,1 North West Metro, Wyndham,4502,1389.2
2023,June,1 North West Metro, Yarra,1059,1086.1
2023,June,1 North West Metro,Total,28353,1206.0
2023,June,2 Eastern, Alpine,147,1115.2
2023,June,2 Eastern, Bass Coast,784,1834.8
2023,June,2 Eastern, Baw Baw,960,1583.2
2023,June,2 Eastern, Benalla,423,2911.4
2023,June,2 Eastern, Boroondara,1046,599.0
2023,June,2 Eastern, East Gippsland,1588,3229.2
2023,June,2 Eastern, Greater Shepparton,1746,2525.6
2023,June,2 Eastern, Indigo,202,1143.8
2023,June,2 Eastern, Knox,1967,1216.0
2023,June,2 Eastern, Latrobe,2564,3281.0
2023,June,2 Eastern, Manningham,1002,773.5
2023,June,2 Eastern, Mansfield,84,796.5
2023,June,2 Eastern, Maroondah,1346,1146.2
2023,June,2 Eastern, Mitchell,1092,2033.1
2023,June,2 Eastern, Moira,624,2027.9
2023,June,2 Eastern, Monash,1848,907.3
2023,June,2 Eastern, Murrindindi,187,1207.9
2023,June,2 Eastern, South Gippsland,514,1667.6
2023,June,2 Eastern, Strathbogie,145,1252.3
2023,June,2 Eastern, Towong,87,1393.6
2023,June,2 Eastern, Wangaratta,631,2103.3
2023,June,2 Eastern, Wellington,1354,2935.8
2023,June,2 Eastern, Whitehorse,1470,822.5
2023,June,2 Eastern, Wodonga,1071,2419.3
2023,June,2 Eastern, Yarra Ranges,1977,1246.0
2023,June,2 Eastern,Total,24859,1421.2
2023,June,3 Southern Metro, Bayside,796,763.1
2023,June,3 Southern Metro, Cardinia,1558,1227.4
2023,June,3 Southern Metro, Casey,5425,1383.7
2023,June,3 Southern Metro, Frankston,2636,1845.8
2023,June,3 Southern Metro, Glen Eira,1127,718.3
2023,June,3 Southern Metro, Greater Dandenong,2657,1621.9
2023,June,3 Southern Metro, Kingston,1850,1129.9
2023,June,3 Southern Metro, Mornington Peninsula,1949,1144.8
2023,June,3 Southern Metro, Port Phillip,1441,1315.0
2023,June,3 Southern Metro, Stonnington,971,871.5
2023,June,3 Southern Metro,Total,20410,1243.1
2023,June,4 Western, Ararat,290,2482.2
2023,June,4 Western, Ballarat,2234,1891.2
2023,June,4 Western, Buloke,58,960.4
2023,June,4 Western, Campaspe,768,2005.4
2023,June,4 Western, Central Goldfields,374,2755.3
2023,June,4 Western, Colac-Otway,419,1881.3
2023,June,4 Western, Corangamite,175,1097.4
2023,June,4 Western, Gannawarra,189,1814.0
2023,June,4 Western, Glenelg,424,2117.8
2023,June,4 Western, Golden Plains,236,914.3
2023,June,4 Western, Greater Bendigo,2476,1994.2
2023,June,4 Western, Greater Geelong,4866,1720.7
