Year,Year ending,Local Government Area,AFM Sex,AFM Counter
2023,June,Loddon,Females,96
2023,June,Loddon,Males,24
2023,June,Macedon Ranges,Females,341
2023,June,Macedon Ranges,Males,130
2023,June,Manningham,Females,675
2023,June,Manningham,Males,324
2023,June,Mansfield,Females,70
2023,June,Mansfield,Males,12
2023,June,Maribyrnong,Females,909
2023,June,Maribyrnong,Males,307
2023,June,Maroondah,Females,1012
2023,June,Maroondah,Males,334
2023,June,Melbourne,Females,1609
2023,June,Melbourne,Males,505
2023,June,Melton,Females,2148
2023,June,Melton,Males,655
2023,June,Merri-bek,Females,1451
2023,June,Merri-bek,Males,533
2023,June,Mildura,Females,1482
2023,June,Mildura,Males,456
2023,June,Mitchell,Females,784
2023,June,Mitchell,Males,307
2023,June,Moira,Females,478
2023,June,Moira,Males,145
2023,June,Monash,Females,1388
2023,June,Monash,Males,460
2023,June,Moonee Valley,Females,923
2023,June,Moonee Valley,Males,344
2023,June,Moorabool,Females,398
2023,June,Moorabool,Males,145
2023,June,Mornington Peninsula,Females,1445
2023,June,Mornington Peninsula,Males,504
2023,June,Mount Alexander,Females,184
2023,June,Mount Alexander,Males,48
2023,June,Moyne,Females,129
2023,June,Moyne,Males,46
2023,June,Murrindindi,Females,144
2023,June,Murrindindi,Males,43
2023,June,Nillumbik,Females,315
2023,June,Nillumbik,Males,104
2023,June,Northern Grampians,Females,225
2023,June,Northern Grampians,Males,72
2023,June,Port Phillip,Females,1042
2023,June,Port Phillip,Males,398
2023,June,Pyrenees,Females,76
2023,June,Pyrenees,Males,22
2023,June,Queenscliffe,Females,6
2023,June,Queenscliffe,Males,4
2023,June,South Gippsland,Females,373
2023,June,South Gippsland,Males,140
2023,June,Southern Grampians,Females,201
2023,June,Southern Grampians,Males,82
2023,June,Stonnington,Females,690
2023,June,Stonnington,Males,280
2023,June,Strathbogie,Females,115
2023,June,Strathbogie,Males,30
2023,June,Surf Coast,Females,187
2023,June,Surf Coast,Males,82
2023,June,Swan Hill,Females,417
2023,June,Swan Hill,Males,162
2023,June,Towong,Females,71
2023,June,Towong,Males,16
2023,June,Wangaratta,Females,441
2023,June,Wangaratta,Males,190
2023,June,Warrnambool,Females,566
2023,June,Warrnambool,Males,164
2023,June,Wellington,Females,1012
2023,June,Wellington,Males,340
2023,June,West Wimmera,Females,31
2023,June,West Wimmera,Males,11
2023,June,Whitehorse,Females,1063
2023,June,Whitehorse,Males,407
2023,June,Whittlesea,Females,2118
2023,June,Whittlesea,Males,520
2023,June,Wodonga,Females,851
2023,June,Wodonga,Males,220
2023,June,Wyndham,Females,3351
2023,June,Wyndham,Males,1146
2023,June,Yarra,Females,768
2023,June,Yarra,Males,290
2023,June,Yarra Ranges,Females,1436
2023,June,Yarra Ranges,Males,538
2023,June,Yarriambiack,Females,101
2023,June,Yarriambiack,Males,22
2022,June,Alpine,Females,84
2022,June,Alpine,Males,57
2022,June,Ararat,Females,210
2022,June,Ararat,Males,54
2022,June,Ballarat,Females,1542
2022,June,Ballarat,Males,494
2022,June,Banyule,Females,887
2022,June,Banyule,Males,306
2022,June,Bass Coast,Females,619
2022,June,Bass Coast,Males,257
2022,June,Baw Baw,Females,701
2022,June,Baw Baw,Males,245
2022,June,Bayside,Females,580
2022,June,Bayside,Males,178
2022,June,Benalla,Females,274
