Year,Year ending,Local Government Area,Age Group,AFM Counter
2025,June,Mitchell,25 - 34 years,348
2025,June,Mitchell,35 - 44 years,344
2025,June,Mitchell,45 - 54 years,214
2025,June,Mitchell,55+ years,183
2025,June,Moira,00 - 17 years,53
2025,June,Moira,18 - 24 years,57
2025,June,Moira,25 - 34 years,164
2025,June,Moira,35 - 44 years,158
2025,June,Moira,45 - 54 years,118
2025,June,Moira,55+ years,115
2025,June,Monash,00 - 17 years,157
2025,June,Monash,18 - 24 years,176
2025,June,Monash,25 - 34 years,327
2025,June,Monash,35 - 44 years,542
2025,June,Monash,45 - 54 years,300
2025,June,Monash,55+ years,400
2025,June,Moonee Valley,00 - 17 years,61
2025,June,Moonee Valley,18 - 24 years,111
2025,June,Moonee Valley,25 - 34 years,314
2025,June,Moonee Valley,35 - 44 years,322
2025,June,Moonee Valley,45 - 54 years,267
2025,June,Moonee Valley,55+ years,251
2025,June,Moorabool,00 - 17 years,48
2025,June,Moorabool,18 - 24 years,76
2025,June,Moorabool,25 - 34 years,168
2025,June,Moorabool,35 - 44 years,229
2025,June,Moorabool,45 - 54 years,156
2025,June,Moorabool,55+ years,98
2025,June,Mornington Peninsula,00 - 17 years,230
2025,June,Mornington Peninsula,18 - 24 years,185
2025,June,Mornington Peninsula,25 - 34 years,406
2025,June,Mornington Peninsula,35 - 44 years,612
2025,June,Mornington Peninsula,45 - 54 years,535
2025,June,Mornington Peninsula,55+ years,518
2025,June,Mount Alexander,00 - 17 years,23
2025,June,Mount Alexander,18 - 24 years,25
2025,June,Mount Alexander,25 - 34 years,37
2025,June,Mount Alexander,35 - 44 years,69
2025,June,Mount Alexander,45 - 54 years,65
2025,June,Mount Alexander,55+ years,71
2025,June,Moyne,00 - 17 years,34
2025,June,Moyne,18 - 24 years,28
2025,June,Moyne,25 - 34 years,52
2025,June,Moyne,35 - 44 years,41
2025,June,Moyne,45 - 54 years,37
2025,June,Moyne,55+ years,39
2025,June,Murrindindi,00 - 17 years,17
2025,June,Murrindindi,18 - 24 years,18
2025,June,Murrindindi,25 - 34 years,40
2025,June,Murrindindi,35 - 44 years,45
2025,June,Murrindindi,45 - 54 years,38
2025,June,Murrindindi,55+ years,41
2025,June,Nillumbik,00 - 17 years,34
2025,June,Nillumbik,18 - 24 years,73
2025,June,Nillumbik,25 - 34 years,74
2025,June,Nillumbik,35 - 44 years,142
2025,June,Nillumbik,45 - 54 years,112
2025,June,Nillumbik,55+ years,83
2025,June,Northern Grampians,00 - 17 years,30
2025,June,Northern Grampians,18 - 24 years,52
2025,June,Northern Grampians,25 - 34 years,77
2025,June,Northern Grampians,35 - 44 years,73
2025,June,Northern Grampians,45 - 54 years,57
2025,June,Northern Grampians,55+ years,46
2025,June,Port Phillip,00 - 17 years,130
2025,June,Port Phillip,18 - 24 years,161
2025,June,Port Phillip,25 - 34 years,495
2025,June,Port Phillip,35 - 44 years,420
2025,June,Port Phillip,45 - 54 years,237
2025,June,Port Phillip,55+ years,183
2025,June,Pyrenees,00 - 17 years,8
2025,June,Pyrenees,18 - 24 years,14
2025,June,Pyrenees,25 - 34 years,25
2025,June,Pyrenees,35 - 44 years,25
2025,June,Pyrenees,45 - 54 years,32
2025,June,Pyrenees,55+ years,17
2025,June,Queenscliffe,00 - 17 years,
2025,June,Queenscliffe,18 - 24 years,
2025,June,Queenscliffe,35 - 44 years,
2025,June,Queenscliffe,55+ years,
2025,June,South Gippsland,00 - 17 years,46
2025,June,South Gippsland,18 - 24 years,54
2025,June,South Gippsland,25 - 34 years,105
2025,June,South Gippsland,35 - 44 years,165
2025,June,South Gippsland,45 - 54 years,100
2025,June,South Gippsland,55+ years,128
2025,June,Southern Grampians,00 - 17 years,28
2025,June,Southern Grampians,18 - 24 years,38
2025,June,Southern Grampians,25 - 34 years,73
2025,June,Southern Grampians,35 - 44 years,105
2025,June,Southern Grampians,45 - 54 years,35
2025,June,Southern Grampians,55+ years,82
2025,June,Stonnington,00 - 17 years,88
2025,June,Stonnington,18 - 24 years,108
2025,June,Stonnington,25 - 34 years,290
2025,June,Stonnington,35 - 44 years,309
2025,June,Stonnington,45 - 54 years,161
2025,June,Stonnington,55+ years,168
2025,June,Strathbogie,00 - 17 years,13
2025,June,Strathbogie,18 - 24 years,6
2025,June,Strathbogie,25 - 34 years,35
2025,June,Strathbogie,35 - 44 years,43
2025,June,Strathbogie,45 - 54 years,43
2025,June,Strathbogie,55+ years,44
2025,June,Surf Coast,00 - 17 years,29
2025,June,Surf Coast,18 - 24 years,24
2025,June,Surf Coast,25 - 34 years,45
2025,June,Surf Coast,35 - 44 years,86
2025,June,Surf Coast,45 - 54 years,105
2025,June,Surf Coast,55+ years,49
2025,June,Swan Hill,00 - 17 years,83
2025,June,Swan Hill,18 - 24 years,77
2025,June,Swan Hill,25 - 34 years,147
2025,June,Swan Hill,35 - 44 years,141
2025,June,Swan Hill,45 - 54 years,86
2025,June,Swan Hill,55+ years,101
2025,June,Towong,00 - 17 years,5
2025,June,Towong,18 - 24 years,12
2025,June,Towong,25 - 34 years,12
2025,June,Towong,35 - 44 years,17
2025,June,Towong,45 - 54 years,19
2025,June,Towong,55+ years,15
2025,June,Wangaratta,00 - 17 years,68
2025,June,Wangaratta,18 - 24 years,94
2025,June,Wangaratta,25 - 34 years,155
2025,June,Wangaratta,35 - 44 years,160
2025,June,Wangaratta,45 - 54 years,124
2025,June,Wangaratta,55+ years,100
2025,June,Warrnambool,00 - 17 years,91
2025,June,Warrnambool,18 - 24 years,91
2025,June,Warrnambool,25 - 34 years,189
2025,June,Warrnambool,35 - 44 years,182
2025,June,Warrnambool,45 - 54 years,152
2025,June,Warrnambool,55+ years,155
2025,June,Wellington,00 - 17 years,165
2025,June,Wellington,18 - 24 years,204
2025,June,Wellington,25 - 34 years,343
2025,June,Wellington,35 - 44 years,293
2025,June,Wellington,45 - 54 years,242
2025,June,Wellington,55+ years,238
2025,June,West Wimmera,00 - 17 years,4
2025,June,West Wimmera,18 - 24 years,2
2025,June,West Wimmera,25 - 34 years,14
2025,June,West Wimmera,35 - 44 years,31
2025,June,West Wimmera,45 - 54 years,8
2025,June,West Wimmera,55+ years,10
2025,June,Whitehorse,00 - 17 years,136
2025,June,Whitehorse,18 - 24 years,131
2025,June,Whitehorse,25 - 34 years,310
2025,June,Whitehorse,35 - 44 years,355
2025,June,Whitehorse,45 - 54 years,265
2025,June,Whitehorse,55+ years,272
